Bon Appétit	Katy Perry
Can’t Stop The Feeling	Justin Timberlake
Send My Love	Adele
Talking Body	Tove Lo
Problem	Ariana Grande
I Wish	Cher Lloyd
Kiss You	One Direction
Just Like Fire	Pink
Scream	Usher
What the Hell	Avril Lavigne
Raise Your Glass	Pink
Fuckin’ Perfect	Pink
Whataya Want from Me	Adam Lambert
Still Falling For You	Ellie Goulding
Run Away With Me	Carly Rae Jepsen
The Original High	Adam Lambert
Air Balloon	Lily Allen
Heart Attack	One Direction
Your Body	Christina Aguilera
She Doesn’t Mind	Sean Paul
